,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
215,JontayPorter,17,13.0,0.498,26.0,8.7,0.0,0.0,0.0,0.0,14.27,0.0,0.0
216,KeldonJohnson,51,29.9,0.551,15.8,8.1,0.0,0.0,0.0,0.0,14.22,0.0,0.0
217,AlHorford,45,27.2,0.628,28.8,7.4,0.0,0.0,0.0,0.0,14.19,65.6,2.2
218,RichaunHolmes,25,10.4,0.583,15.2,11.4,0.0,14.1,0.0,16.9,14.18,13.1,0.4
219,RuiHachimura,42,24.2,0.608,9.4,6.1,0.0,0.0,0.0,0.0,14.18,0.0,0.0
220,GordonHayward,25,31.9,0.544,23.2,10.2,0.0,0.0,0.0,0.0,14.08,0.0,0.0
221,KendallBrown,5,4.0,0.579,18.8,0.0,0.0,0.0,0.0,0.0,14.06,0.0,0.0
222,NormanPowell,53,25.2,0.637,7.8,6.9,0.0,0.0,0.0,0.0,14.06,0.0,0.0
223,JordanMcLaughlin,32,8.9,0.516,37.2,7.7,0.0,0.0,0.0,0.0,14.05,0.0,0.0
224,KrisDunn,47,17.9,0.552,40.9,12.0,0.0,0.0,0.0,0.0,14.04,0.0,0.0
225,DelonWright,33,13.8,0.497,36.0,4.8,0.0,0.0,0.0,0.0,14.02,0.0,0.0
226,SandroMamukelashvili,30,6.5,0.504,24.9,7.4,0.0,0.0,0.0,0.0,14.02,0.0,0.0
227,DennisSmithJr.,38,20.0,0.507,32.4,10.0,0.0,0.0,0.0,0.0,14.01,0.0,0.0
228,OshaeBrissett,36,11.1,0.566,17.8,6.8,0.0,0.0,0.0,0.0,13.94,0.0,0.0
229,MarcusSasser,49,16.4,0.583,28.7,9.4,0.0,0.0,0.0,0.0,13.87,36.7,1.2
230,AaronNesmith,51,27.1,0.651,11.7,8.1,0.0,0.0,0.0,0.0,13.85,0.0,0.0
231,ChimezieMetu,37,12.1,0.621,9.7,13.9,0.0,0.0,0.0,0.0,13.85,0.0,0.0
232,DerrickRose,21,17.3,0.54,27.1,9.5,0.0,0.0,0.0,0.0,13.81,0.0,0.0
233,TalenHorton-Tucker,35,20.6,0.511,25.1,9.7,0.0,0.0,0.0,0.0,13.8,0.0,0.0
